block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
445;lbm;;44.48;19.15;;;;;;
414;lbm;;10.67;4.59;;;;;;
416;lbm;;9.89;4.26;;;;;;
393;lbm;;9.79;4.21;;;;;;
412;lbm;;9.69;4.17;;;;;;
400;lbm;;1.06;0.45;;;;;;
396;lbm;;0.89;0.38;;;;;;
372;lbm;;0.82;0.35;;;;;;
466;lbm;;0.82;0.35;;;;;;
124;lbm;;0.79;0.34;;;;;;
404;lbm;;0.78;0.33;;;;;;
397;lbm;;0.75;0.32;;;;;;
447;lbm;;0.52;0.22;;;;;;
391;lbm;;0.5;0.22;;;;;;
405;lbm;;0.46;0.2;;;;;;
401;lbm;;0.38;0.16;;;;;;
111;lbm;;0.3;0.13;;;;;;
130;lbm;;0.3;0.13;;;;;;
409;lbm;;0.24;0.1;;;;;;
129;lbm;;0.21;0.09;;;;;;
398;lbm;;0.17;0.08;;;;;;
408;lbm;;0.15;0.06;;;;;;
392;lbm;;0.12;0.05;;;;;;
123;lbm;;0.08;0.04;;;;;;
122;lbm;;0.07;0.03;;;;;;
132;lbm;;0.06;0.03;;;;;;
395;lbm;;0.03;0.01;;;;;;
128;lbm;;0.03;0.01;;;;;;
470;lbm;;0.03;0.01;;;;;;
394;lbm;;0.02;0.01;;;;;;
402;lbm;;0.02;0.01;;;;;;
403;lbm;;0.02;0.01;;;;;;
407;lbm;;0.02;0.01;;;;;;
120;lbm;;0.02;0.01;;;;;;
126;lbm;;0.02;0.01;;;;;;
434;lbm;;0.01;0.01;;;;;;
435;lbm;;0.01;0.01;;;;;;
439;lbm;;0.01;0.01;;;;;;
107;lbm;;0.01;0.01;;;;;;
399;lbm;;0.01;0.01;;;;;;
406;lbm;;0.01;0.01;;;;;;
324;lbm;;0.01;0.01;;;;;;
