block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
445;lbm;;42;17.82;;;;;;
414;lbm;;9.96;4.22;;;;;;
416;lbm;;9.85;4.18;;;;;;
393;lbm;;9.7;4.11;;;;;;
412;lbm;;9.15;3.88;;;;;;
396;lbm;;1.05;0.44;;;;;;
404;lbm;;0.93;0.39;;;;;;
400;lbm;;0.91;0.38;;;;;;
372;lbm;;0.7;0.29;;;;;;
397;lbm;;0.6;0.25;;;;;;
391;lbm;;0.57;0.24;;;;;;
447;lbm;;0.46;0.19;;;;;;
405;lbm;;0.46;0.19;;;;;;
398;lbm;;0.26;0.11;;;;;;
409;lbm;;0.22;0.09;;;;;;
401;lbm;;0.22;0.09;;;;;;
408;lbm;;0.16;0.07;;;;;;
392;lbm;;0.12;0.05;;;;;;
395;lbm;;0.11;0.04;;;;;;
394;lbm;;0.08;0.04;;;;;;
403;lbm;;0.04;0.01;;;;;;
406;lbm;;0.04;0.01;;;;;;
407;lbm;;0.04;0.01;;;;;;
361;lbm;;0.02;0.01;;;;;;
399;lbm;;0.02;0.01;;;;;;
435;lbm;;0.01;0;;;;;;
426;lbm;;0.01;0;;;;;;
402;lbm;;0.01;0;;;;;;
448;lbm;;0.01;0;;;;;;
