loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
15;lbm;propagation._omp_fn.0;9;;Single;46.25;20.07;19.17;19.81;20.35;0.74260199069977;4;
16;lbm;collision._omp_fn.0;10;;Single;44.54;19.33;18.02;19.08;19.95;1.4809994697571;4;
4;lbm;main;1;;Innermost;0.91;0.4;0.76;0.78;0.81;0.083378352224827;2;
18;lbm;save_frame;12;;Innermost;0.22;0.09;0.37;0.37;0.37;0;1;
3;lbm;main;1;;InBetween;0.03;0.01;0.01;0.02;0.04;0.040611773729324;2;
2;lbm;main;1;;InBetween;0.01;0;0;0.01;0.01;0.0080848932266235;2;
13;lbm;setup_init_state;8;;Innermost;0;0;0;0;0;0;1;
