function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
9;lbm;propagation._omp_fn.0;;46.91;20.35;;;;;;"100,0,0,0,0,0,0,0,0,0";
10;lbm;collision._omp_fn.0;;45.98;19.95;;;;;;"100,0,0,0,0,0,0,0,0,0";
1;lbm;main;;1.86;0.8;;;;;;"100,0,0,0,0,0,0,0,0,0";
3621;libc.so.6;__memcpy_evex_unaligned_erms;;0.71;0.31;;;;;;"0,0,0,0,100,0,0,0,0,0";
1121;libc.so.6;__pthread_spin_lock;;0.48;0.21;;;;;;"0,0,0,0,100,0,0,0,0,0";
1071;libc.so.6;__GI___pthread_mutex_unlock_usercnt;;0.38;0.17;;;;;;"0,0,0,0,100,0,0,0,0,0";
0;[vdso];Unknown function;;0.33;0.14;;;;;;"0,0,0,0,0,0,0,0,0,100";
1064;libc.so.6;__GI___pthread_mutex_lock;;0.22;0.09;;;;;;"0,0,0,0,0,100,0,0,0,0";
11328;libLLVM-13.so;llvm::BitstreamCursor::readRecord(unsigned int, llvm::SmallVectorImpl<unsigned long>&, llvm::StringRef*);;0.13;0.05;;;;;;"0,0,0,0,0,0,0,0,0,100";
1271;libc.so.6;_int_free;;0.12;0.05;;;;;;"0,0,0,0,0,0,0,0,100,0";
1273;libc.so.6;_int_malloc;;0.12;0.05;;;;;;"0,0,0,0,0,0,0,0,100,0";
3748;libmpi.so.12.2.2;MPIDI_NM_progress.constprop.0;;0.1;0.04;;;;;;"0,100,0,0,0,0,0,0,0,0";
1280;libc.so.6;__GI___libc_malloc;;0.1;0.04;;;;;;"0,0,0,0,0,0,0,0,100,0";
-1;kernel;unknown_kernel_region;;0.1;0.04;;;;;;"0,0,88.88888950287,0,11.11111049713,0,0,0,0,0";
1406;libfabric.so.1.17.0;sock_cq_sreadfrom;;0.09;0.04;;;;;;"0,0,0,0,0,0,0,0,0,100";
269;libgomp.so.1.0.0;gomp_team_barrier_wait_end;;0.08;0.04;;;;;;"0,0,100,0,0,0,0,0,0,0";
5727;libLLVM-13.so;llvm::ValueHandleBase::AddToUseList();;0.07;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
5703;libLLVM-13.so;llvm::Value::getValueName() const;;0.07;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
1384;libLLVM-13.so;llvm::StringMapImpl::RemoveKey(llvm::StringMapEntryBase*);;0.07;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
329;libigc.so.1.0.1;void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int&);;0.07;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
5728;libLLVM-13.so;llvm::ValueHandleBase::RemoveFromUseList();;0.06;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
4487;libmpi.so.12.2.2;MPIDI_POSIX_eager_recv_begin;;0.06;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
1581;libfabric.so.1.17.0;sock_pe_progress_rx_ctx;;0.06;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
1382;libLLVM-13.so;llvm::StringMapImpl::LookupBucketFor(llvm::StringRef);;0.06;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
1261;libc.so.6;malloc_consolidate;;0.06;0.03;;;;;;"0,0,0,0,0,0,0,0,100,0";
5705;libLLVM-13.so;llvm::Value::setValueName(llvm::StringMapEntry<llvm::Value*>*);;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
4593;libmpi.so.12.2.2;MPIDU_genq_private_pool_alloc_cell;;0.05;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
4571;libmpi.so.12.2.2;Init_shm_barrier;;0.05;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
3749;libmpi.so.12.2.2;MPID_Progress_wait;;0.05;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
1562;libfabric.so.1.17.0;sock_pe_progress_rx_ep;;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
323;libigc.so.1.0.1;std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned long, int const&);;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
321;libigc.so.1.0.1;std::_Rb_tree<int, std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::_Select1st<std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >, int const&);;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
308;libigc.so.1.0.1;std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool);;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
12551;libLLVM-13.so;llvm::Constant** std::__rotate_adaptive<llvm::Constant**, llvm::Constant**, long>(llvm::Constant**, llvm::Constant**, llvm::Constant**, long, long, llvm::Constant**, long);;0.03;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
11326;libLLVM-13.so;llvm::ValueEnumerator::getGlobalBasicBlockID(llvm::BasicBlock const*) const;;0.03;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
