function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
9;lbm;propagation._omp_fn.0;;46.53;20.04;;;;;;"100,0,0,0,0,0,0,0,0,0";
10;lbm;collision._omp_fn.0;;45.04;19.39;;;;;;"100,0,0,0,0,0,0,0,0,0";
1;lbm;main;;1.9;0.82;;;;;;"100,0,0,0,0,0,0,0,0,0";
12;lbm;save_frame;;0.86;0.37;;;;;;"100,0,0,0,0,0,0,0,0,0";
0;[vdso];Unknown function;;0.62;0.27;;;;;;"0,0,0,0,0,0,0,0,0,100";
3621;libc.so.6;__memcpy_evex_unaligned_erms;;0.55;0.24;;;;;;"0,0,0,0,100,0,0,0,0,0";
1121;libc.so.6;__pthread_spin_lock;;0.42;0.18;;;;;;"0,0,0,0,100,0,0,0,0,0";
1071;libc.so.6;__GI___pthread_mutex_unlock_usercnt;;0.42;0.18;;;;;;"0,0,0,0,100,0,0,0,0,0";
1064;libc.so.6;__GI___pthread_mutex_lock;;0.3;0.13;;;;;;"0,0,0,0,0,100,0,0,0,0";
269;libgomp.so.1.0.0;gomp_team_barrier_wait_end;;0.22;0.1;;;;;;"0,0,100,0,0,0,0,0,0,0";
1280;libc.so.6;__GI___libc_malloc;;0.14;0.06;;;;;;"0,0,0,0,0,0,0,0,100,0";
1271;libc.so.6;_int_free;;0.14;0.06;;;;;;"0,0,0,0,0,0,0,0,100,0";
476;libfabric.so.1.17.0;ofi_gettime_ms;;0.12;0.05;;;;;;"0,0,0,0,0,0,0,0,0,100";
11328;libLLVM-13.so;llvm::BitstreamCursor::readRecord(unsigned int, llvm::SmallVectorImpl<unsigned long>&, llvm::StringRef*);;0.09;0.04;;;;;;"0,0,0,0,0,0,0,0,0,100";
1384;libLLVM-13.so;llvm::StringMapImpl::RemoveKey(llvm::StringMapEntryBase*);;0.09;0.04;;;;;;"0,0,0,0,0,0,0,0,0,100";
1273;libc.so.6;_int_malloc;;0.09;0.04;;;;;;"0,0,0,0,0,0,0,0,100,0";
1382;libLLVM-13.so;llvm::StringMapImpl::LookupBucketFor(llvm::StringRef);;0.08;0.04;;;;;;"0,0,0,0,0,0,0,0,0,100";
5727;libLLVM-13.so;llvm::ValueHandleBase::AddToUseList();;0.07;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
1402;libfabric.so.1.17.0;sock_cq_progress.part.0;;0.07;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
1261;libc.so.6;malloc_consolidate;;0.07;0.03;;;;;;"0,0,0,0,0,0,0,0,100,0";
4488;libmpi.so.12.2.2;MPIDI_POSIX_eager_recv_commit;;0.06;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
3749;libmpi.so.12.2.2;MPID_Progress_wait;;0.06;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
3748;libmpi.so.12.2.2;MPIDI_NM_progress.constprop.0;;0.06;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
1585;libfabric.so.1.17.0;sock_pe_progress_ep_tx;;0.06;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
1581;libfabric.so.1.17.0;sock_pe_progress_rx_ctx;;0.06;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
1535;libmpi.so.12.2.2;MPI_Comm_rank;;0.06;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
325;libigc.so.1.0.1;std::vector<unsigned int, std::allocator<unsigned int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned long, unsigned int const&);;0.06;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
308;libigc.so.1.0.1;std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool);;0.06;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
11213;libLLVM-13.so;std::_Rb_tree<std::vector<unsigned long, std::allocator<unsigned long> >, std::pair<std::vector<unsigned long, std::allocator<unsigned long> > const, llvm::WholeProgramDevirtResolution::ByArg>, std::_Select1st<std::pair<std::vector<unsigned long, std::allocator<unsigned long> > const, llvm::WholeProgramDevirtResolution::ByArg> >, std::less<std::vector<unsigned long, std::allocator<unsigned long> > >, std::allocator<std::pair<std::vector<unsigned long, std::allocator<unsigned long> > const, llvm::WholeProgramDevirtResolution::ByArg> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::vector<unsigned long, std::allocator<unsigned long> > const, llvm::WholeProgramDevirtResolution::ByArg> >, std::vector<unsigned long, std::allocator<unsigned long> > const&);;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
5703;libLLVM-13.so;llvm::Value::getValueName() const;;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
4485;libmpi.so.12.2.2;MPIDI_POSIX_eager_send;;0.05;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
1562;libfabric.so.1.17.0;sock_pe_progress_rx_ep;;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
326;libigc.so.1.0.1;void std::vector<std::pair<unsigned short, unsigned int>, std::allocator<std::pair<unsigned short, unsigned int> > >::_M_realloc_insert<std::pair<unsigned short, unsigned int> >(__gnu_cxx::__normal_iterator<std::pair<unsigned short, unsigned int>*, std::vector<std::pair<unsigned short, unsigned int>, std::allocator<std::pair<unsigned short, unsigned int> > > >, std::pair<unsigned short, unsigned int>&&);;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
323;libigc.so.1.0.1;std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned long, int const&);;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
321;libigc.so.1.0.1;std::_Rb_tree<int, std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::_Select1st<std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >, int const&);;0.05;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
169;libgomp.so.1.0.0;GOMP_parallel;;0.05;0.02;;;;;;"0,0,100,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.05;0.02;;;;;;"0,25,50,0,25,0,0,0,0,0";
5728;libLLVM-13.so;llvm::ValueHandleBase::RemoveFromUseList();;0.03;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
2501;libLLVM-13.so;llvm::AttributeList::removeAttributes(llvm::LLVMContext&, unsigned int, llvm::AttrBuilder const&) const;;0.03;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
2001;libmpi.so.12.2.2;MPIDIU_comm_rank_to_av;;0.03;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
1657;libc.so.6;__GI___clock_gettime;;0.03;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
