block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
445;lbm;;45.63;19.8;;;;;;
416;lbm;;10.99;4.77;;;;;;
414;lbm;;10.23;4.44;;;;;;
393;lbm;;9.81;4.26;;;;;;
412;lbm;;9.64;4.18;;;;;;
124;lbm;;0.91;0.4;;;;;;
396;lbm;;0.88;0.38;;;;;;
404;lbm;;0.88;0.38;;;;;;
397;lbm;;0.71;0.31;;;;;;
372;lbm;;0.67;0.29;;;;;;
405;lbm;;0.58;0.25;;;;;;
400;lbm;;0.55;0.24;;;;;;
391;lbm;;0.54;0.24;;;;;;
111;lbm;;0.41;0.18;;;;;;
447;lbm;;0.36;0.15;;;;;;
401;lbm;;0.33;0.14;;;;;;
409;lbm;;0.29;0.13;;;;;;
130;lbm;;0.23;0.1;;;;;;
398;lbm;;0.21;0.09;;;;;;
408;lbm;;0.18;0.08;;;;;;
392;lbm;;0.16;0.07;;;;;;
395;lbm;;0.09;0.04;;;;;;
128;lbm;;0.08;0.04;;;;;;
132;lbm;;0.07;0.03;;;;;;
406;lbm;;0.06;0.03;;;;;;
120;lbm;;0.06;0.03;;;;;;
407;lbm;;0.05;0.02;;;;;;
394;lbm;;0.03;0.02;;;;;;
122;lbm;;0.03;0.02;;;;;;
402;lbm;;0.02;0.01;;;;;;
110;lbm;;0.02;0.01;;;;;;
107;lbm;;0.01;0;;;;;;
155;lbm;;0.01;0;;;;;;
126;lbm;;0.01;0;;;;;;
